City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
206,Guerrero Negro,MX,2022-03-29 16:58:07,27.9769,-114.0611,66.18,62,1,16.82,clear sky
207,Pedernales,DO,2022-03-29 16:58:08,18.0384,-71.744,80.29,71,78,8.48,broken clouds
208,Karratha,AU,2022-03-29 16:58:08,-20.7377,116.8463,84.25,67,92,4.94,overcast clouds
209,Japura,ID,2022-03-29 16:58:08,-0.3167,102.35,75.11,94,93,0.51,overcast clouds
210,Sisimiut,GL,2022-03-29 16:58:09,66.9395,-53.6735,26.56,85,36,7.36,scattered clouds
211,San Rafael Del Sur,NI,2022-03-29 16:58:09,11.8485,-86.4384,88.77,42,79,15.37,broken clouds
212,Druzhba,UA,2022-03-29 16:58:09,52.0428,33.9453,44.53,67,97,8.5,overcast clouds
213,Phan Thiet,VN,2022-03-29 16:58:10,10.9333,108.1,77.88,83,84,2.86,broken clouds
214,Mandalgovi,MN,2022-03-29 16:58:10,45.7625,106.2708,26.62,37,60,5.48,broken clouds
215,Lismore,AU,2022-03-29 16:58:10,-28.8135,153.2773,71.49,99,100,10.0,heavy intensity rain
216,Naryan-Mar,RU,2022-03-29 16:58:10,67.6713,53.087,3.4,92,89,7.54,overcast clouds
217,Port-Gentil,GA,2022-03-29 16:58:11,-0.7193,8.7815,82.36,74,75,9.22,broken clouds
218,Lebu,CL,2022-03-29 16:58:11,-37.6167,-73.65,57.33,52,14,16.4,few clouds
219,Villamontes,BO,2022-03-29 16:58:11,-21.25,-63.5,94.44,43,4,5.75,clear sky
220,Airai,TL,2022-03-29 16:59:12,-8.9266,125.4092,60.12,95,99,0.34,overcast clouds
221,Pointe Michel,DM,2022-03-29 16:59:12,15.25,-61.3833,86.94,45,20,12.66,few clouds
222,Pevek,RU,2022-03-29 16:59:13,69.7008,170.3133,-19.8,95,51,2.82,broken clouds
223,Qaqortoq,GL,2022-03-29 16:59:13,60.7167,-46.0333,33.26,63,35,4.07,scattered clouds
224,Tarbagatay,RU,2022-03-29 16:59:13,51.4803,107.3602,15.33,91,3,1.66,clear sky
225,Galesong,ID,2022-03-29 16:59:14,-5.3166,119.3661,73.42,79,87,2.71,overcast clouds
226,Guangyuan,CN,2022-03-29 16:59:14,32.442,105.823,58.24,75,98,3.31,overcast clouds
227,Aykhal,RU,2022-03-29 16:59:14,66.0,111.5,-7.33,100,100,5.23,overcast clouds
228,Eydhafushi,MV,2022-03-29 16:59:15,5.1033,73.0708,82.87,68,3,1.79,clear sky
229,Aviles,ES,2022-03-29 16:54:38,43.5547,-5.9248,56.77,78,75,8.05,broken clouds
230,Abonnema,NG,2022-03-29 16:59:15,4.7084,6.7931,86.72,64,53,12.73,light rain
231,Wad Rawah,SD,2022-03-29 16:59:16,15.1603,33.1397,92.73,15,2,10.58,clear sky
232,Tahlequah,US,2022-03-29 16:59:16,35.9154,-94.97,71.82,49,0,10.36,clear sky
233,Souillac,MU,2022-03-29 16:59:16,-20.5167,57.5167,79.18,78,40,3.44,scattered clouds
234,Jatibonico,CU,2022-03-29 16:59:17,21.9419,-79.17,85.82,33,88,15.93,overcast clouds
235,Sao Filipe,CV,2022-03-29 16:59:17,14.8961,-24.4956,71.29,76,3,17.34,clear sky
236,Samana,DO,2022-03-29 16:59:18,19.2056,-69.3369,80.82,83,75,0.0,broken clouds
237,Sola,VU,2022-03-29 16:59:18,-13.8833,167.55,77.79,89,100,9.62,overcast clouds
238,Zimmi,SL,2022-03-29 16:59:18,7.3153,-11.3061,84.7,63,100,7.0,light rain
239,Muros,ES,2022-03-29 16:59:19,42.7762,-9.0603,59.09,73,100,13.62,overcast clouds
240,Kronshagen,DE,2022-03-29 16:59:19,54.3433,10.0994,44.62,49,100,11.5,overcast clouds
241,Tuatapere,NZ,2022-03-29 16:59:19,-46.1333,167.6833,52.54,94,6,2.95,clear sky
242,Boende,CD,2022-03-29 16:59:20,-0.2167,20.8667,74.88,76,95,3.13,overcast clouds
243,Begowala,PK,2022-03-29 16:59:20,32.4376,74.2682,75.29,16,0,3.29,clear sky
244,Pimentel,PE,2022-03-29 16:59:20,-6.8367,-79.9342,80.89,61,0,9.22,clear sky
245,Riberalta,BO,2022-03-29 16:59:21,-10.9833,-66.1,88.0,70,75,9.22,broken clouds
246,San Quintin,MX,2022-03-29 16:59:21,30.4833,-115.95,60.71,71,18,13.42,few clouds
247,Arman,RU,2022-03-29 16:59:22,59.7,150.1667,7.02,78,100,8.3,overcast clouds
248,Kyzyl-Suu,KG,2022-03-29 16:59:22,42.3414,78.0056,31.93,97,96,7.11,snow
249,Magadi,IN,2022-03-29 16:59:22,12.9667,77.2333,87.39,50,100,8.59,overcast clouds
250,Kongolo,CD,2022-03-29 16:59:23,-5.3833,27.0,70.25,97,100,3.11,overcast clouds
251,Kanniyakumari,IN,2022-03-29 16:59:23,8.0833,77.5667,83.03,77,8,11.48,clear sky
252,San Cristobal,VE,2022-03-29 16:59:23,7.7669,-72.225,75.38,65,100,6.2,overcast clouds
253,Mazagao,BR,2022-03-29 16:59:24,-0.115,-51.2894,84.25,98,100,0.96,overcast clouds
254,Lavrentiya,RU,2022-03-29 16:59:24,65.5833,-171.0,-8.84,93,29,6.76,scattered clouds
